108 3566.67 1 -3.85699 29.8842 281.385 -0.0445942 -0.121289 -0.0341757 -1.21483
109 3600 1 -3.19626 29.9455 281.428 -0.0444068 -0.121928 -0.0334715 -1.2198
110 3633.33 1 -2.74059 30.0143 281.485 -0.0449608 -0.123827 -0.0334006 -1.21275
111 3666.67 1 -2.34703 29.8656 281.398 -0.0461314 -0.123405 -0.032162 -1.21938
112 3700 1 -1.82976 29.6165 281.411 -0.0486755 -0.121304 -0.0342535 -1.21288
113 3733.33 1 -1.23876 29.519 281.233 -0.0480385 -0.12033 -0.0315827 -1.21735
114 3766.67 1 -0.550545 29.5014 281.375 -0.0450365 -0.120007 -0.027543 -1.2186
115 3800 1 -0.201811 29.6956 281.391 -0.0419508 -0.118791 -0.0263886 -1.20485
116 3833.33 1 0.214098 29.8061 281.391 -0.0407272 -0.120488 -0.0262002 -1.1957
117 3866.67 1 0.75801 29.7455 281.326 -0.0400203 -0.124014 -0.0282455 -1.19417
118 3900 1 1.30412 29.4566 281.27 -0.0414585 -0.126683 -0.0297614 -1.2123
119 3933.33 1 1.86565 28.996 281.508 -0.0443963 -0.130004 -0.0329608 -1.20999
120 3966.67 1 2.3286 28.4407 281.812 -0.0491649 -0.131934 -0.0349008 -1.21143
121 4000 1 3.08184 27.9483 282.503 -0.0528903 -0.132275 -0.0390988 -1.21227
122 4033.33 1 3.69076 27.6656 283.109 -0.0530891 -0.134403 -0.043004 -1.2021
123 4066.67 1 4.04163 27.4848 282.821 -0.0566799 -0.137933 -0.049723 -1.22384
124 4100 1 4.43876 27.321 282.733 -0.0622861 -0.13806 -0.0549281 -1.2333
125 4133.33 1 4.80457 26.9469 282.761 -0.0685614 -0.136087 -0.056864 -1.24026
126 4166.67 1 5.12298 26.4577 283.088 -0.0757849 -0.135944 -0.0563962 -1.23002
127 4200 1 5.49251 25.736 283.322 -0.081687 -0.130859 -0.0564754 -1.23558
128 4233.33 1 5.90524 25.1083 283.265 -0.0891211 -0.128838 -0.0579961 -1.22933
129 4266.67 1 6.40205 24.7834 283.698 -0.0934577 -0.126594 -0.057482 -1.24072
130 4300 1 6.65748 24.9143 284.488 -0.0979807 -0.119944 -0.0576581 -1.22768
131 4333.33 1 7.19148 25.9028 287.945 -0.103469 -0.110594 -0.0497351 -1.21968
132 4366.67 1 7.08697 25.8673 289.164 -0.107309 -0.103204 -0.0491619 -1.22034
133 4400 1 6.27397 24.4544 288.163 -0.111483 -0.0942014 -0.0466633 -1.1992
134 4433.33 1 5.02089 22.7504 287.164 -0.111244 -0.0875393 -0.0479827 -1.188
135 4466.67 1 3.91303 21.348 286.524 -0.110532 -0.0829024 -0.0466849 -1.18774
136 4500 1 2.56612 20.3394 286.114 -0.11073 -0.0755935 -0.0447513 -1.20122
137 4533.33 1 1.03935 19.3094 285.506 -0.110779 -0.0683567 -0.0459531 -1.19921
138 4566.67 1 -0.856906 18.5621 285.251 -0.119613 -0.0619731 -0.050562 -1.20111
139 4600 1 -2.84761 18.0757 285.195 -0.123564 -0.0524731 -0.0514281 -1.20338
140 4633.33 1 -5.00382 17.9246 285.139 -0.128364 -0.0432521 -0.051338 -1.20908
141 4666.67 1 -7.26823 18.0657 284.611 -0.129908 -0.0360504 -0.0519914 -1.20765
142 4700 1 -9.83594 18.5046 284.152 -0.127427 -0.0279159 -0.0530321 -1.20851
143 4733.33 1 -12.7338 19.201 284.053 -0.124126 -0.0203115 -0.0556923 -1.20003
144 4766.67 1 -16.206 20.1967 283.005 -0.119199 -0.0110868 -0.05857 -1.18437
145 4800 1 -20.1304 20.7677 281.879 -0.117373 0.00093939 -0.060124 -1.18347
146 4833.33 1 -24.4852 20.8885 280.422 -0.120907 0.0176257 -0.0607672 -1.17319
147 4866.67 1 -29.3541 20.6162 280.001 -0.123823 0.0330488 -0.0608457 -1.1519
148 4900 1 -34.6375 19.858 279.774 -0.128378 0.0470095 -0.0632688 -1.13519
149 4933.33 1 -40.3304 18.8818 279.765 -0.132429 0.0621284 -0.0669212 -1.12629
150 4966.67 1 -46.2693 17.9604 279.746 -0.131904 0.0795135 -0.0695627 -1.11242
