Time_s   Intensity_dB
104.221333   58.694119
104.232000   59.213200
104.242667   61.773340
104.253333   63.721111
104.264000   64.790573
104.274667   65.052341
104.285333   63.160427
104.296000   59.866106
104.306667   56.642348
104.317333   55.007105
104.328000   56.316454
104.338667   57.436041
104.349333   56.102518
104.360000   56.189733
104.370667   60.061751
104.381333   61.270555
104.392000   59.583694
104.402667   58.248025
104.413333   58.281831
104.424000   57.497466
104.434667   58.719443
104.445333   61.323015
104.456000   61.708816
104.466667   60.877302
104.477333   60.216383
104.488000   60.273336
104.498667   61.112913
104.509333   61.191628
104.520000   59.506870
104.530667   57.161442
104.541333   58.058510
104.552000   61.196984
104.562667   61.919344
104.573333   60.917018
104.584000   60.058526
104.594667   59.075826
104.605333   57.039030
104.616000   54.213794
104.626667   51.193638
104.637333   51.733672
104.648000   55.492649
104.658667   55.808508
104.669333   53.914151
104.680000   55.717951
104.690667   58.680822
104.701333   59.932772
104.712000   60.208211
104.722667   61.148214
104.733333   61.151314
104.744000   59.062389
104.754667   57.063754
104.765333   57.702642
104.776000   58.186047
104.786667   58.513491
104.797333   59.733812
104.808000   61.496430
104.818667   61.834771
104.829333   60.651062
104.840000   60.767241
104.850667   63.746712
104.861333   66.151078
104.872000   67.630939
104.882667   69.684985
104.893333   71.831289
104.904000   72.863714
104.914667   72.939460
104.925333   72.603652
104.936000   72.236112
104.946667   71.986624
104.957333   71.503185
104.968000   70.309575
104.978667   68.052329
104.989333   64.963144
105.000000   62.911345
105.010667   62.571193
105.021333   62.758449
105.032000   65.754309
105.042667   69.478334
105.053333   71.561956
105.064000   72.739718
105.074667   73.581942
105.085333   73.793542
105.096000   73.413248
105.106667   72.911116
105.117333   72.511494
105.128000   71.806364
105.138667   70.836590
105.149333   70.301352
105.160000   69.201116
105.170667   67.596525
105.181333   66.902781
105.192000   66.821070
105.202667   67.722777
105.213333   70.521887
105.224000   73.126107
105.234667   73.923278
105.245333   73.595994
105.256000   73.810597
105.266667   74.136078
105.277333   74.019748
105.288000   73.374580
105.298667   72.123457
105.309333   71.168391
105.320000   71.141646
105.330667   71.540026
105.341333   72.033294
105.352000   72.856506
105.362667   72.743311
105.373333   70.296362
105.384000   65.442442
105.394667   59.983074
105.405333   56.854169
105.416000   54.663137
105.426667   54.646955
105.437333   60.803691
105.448000   67.823691
105.458667   72.173764
105.469333   73.610951
105.480000   72.662397
105.490667   70.056046
105.501333   65.757744
105.512000   60.418001
105.522667   57.746848
105.533333   56.493512
105.544000   54.278838
105.554667   50.556227
105.565333   46.859558
105.576000   44.649625
105.586667   42.971873
105.597333   41.512816
105.608000   42.910251
105.618667   47.306547
105.629333   51.280700
105.640000   53.970288
105.650667   54.286688
105.661333   54.967223
105.672000   61.639947
105.682667   66.916177
105.693333   69.413188
105.704000   70.531110
105.714667   71.742770
105.725333   72.613635
105.736000   72.754219
105.746667   72.570363
105.757333   73.003179
105.768000   74.767559
105.778667   76.140082
105.789333   76.198975
105.800000   75.198339
105.810667   73.706117
105.821333   72.411444
105.832000   71.422397
105.842667   71.655487
105.853333   72.852679
105.864000   73.552049
105.874667   73.155100
105.885333   71.158481
105.896000   67.745379
105.906667   64.744449
105.917333   63.159664
105.928000   63.408037
105.938667   64.426188
105.949333   65.251241
105.960000   65.516624
105.970667   64.942411
105.981333   63.778468
105.992000   61.923398
106.002667   60.393996
106.013333   61.072404
106.024000   61.240613
106.034667   60.458285
106.045333   61.855966
106.056000   64.864537
106.066667   67.792189
106.077333   69.849441
106.088000   70.758266
106.098667   70.323700
106.109333   68.520320
