video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,293,294,1,289,293,8671,8790,0.382885,0.411952,-0.889933,0.151426,0.346279,-0.891063,115.922,20.7499,466.43,0.119019,0.0840146,0.138187,1.97307,0.134141,0.0983423,0.141817,858.536,399.274,1.92725,0.786309,0.0168473,0.613401,0.481744,0.102353,0.415065,0.470958,1.84508,1.02266,1.32218,0.967865,0.666467,0.646706,1.94915,3.30397,2.67666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.951256578203,0.714209941005
AndyWoodhull,301,312,2,294,301,8821,9030,0.444101,0.356141,-0.862382,0.181119,0.376065,-0.87678,157.116,28.7916,501.56,0.200852,0.64796,0.352422,2.07807,0.204471,0.704106,0.366429,935.195,415.195,2.26956,1.68977,1.41151,1.54601,1.42081,1.88407,0.578681,2.44658,2.66901,1.61801,2.54803,3.67524,2.30753,4.42616,2.78285,4.30821,2.18196,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88153416714,0.793070643556
AndyWoodhull,319,321,2,312,319,9361,9570,0.424167,0.360334,-0.86584,0.134019,0.329215,-0.892741,141.236,22.8704,469.672,0.138254,0.340748,0.226934,2.06237,0.149722,0.390881,0.233709,909.496,404.819,1.73027,1.09384,0.156021,0.686557,1.75943,1.12524,0.607545,1.33779,3.07944,1.26259,2.22304,4.52757,1.79708,1.5026,2.65682,4.03979,1.84392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992573987324,0.722479185448
AndyWoodhull2,2,5,1,0,2,1,60,0.201225,0.277384,-0.943453,0.0,0.272115,-0.894818,197.978,0.0,536.858,0.0487027,0.0,0.0,1.73462,0.0536763,0.0,0.0,973.931,356.359,0.538413,0.0,1.90475,0.0,1.02406,0.952871,0.741316,2.80439,0.129906,1.98753,1.38227,1.84692,0.903239,2.67401,3.14271,2.32442,0.385023,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.577958473979,0.417915994293
AndyWoodhull2,26,27,1,5,26,151,780,0.435209,0.401085,-0.820786,0.209617,0.442452,-0.867399,151.056,25.9423,500.431,0.291051,0.450838,0.137282,2.06569,0.314054,0.48292,0.137841,912.947,408.367,3.03793,1.95399,1.86021,1.5464,1.02526,1.97539,0.531101,2.81033,2.01339,2.51949,2.66674,2.50784,1.06393,1.59014,4.02163,4.21071,2.75449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94251270531,0.844253684
AndyWoodhull2,31,32,1,27,31,811,930,0.23731,0.366523,-0.913254,0.00119716,0.343116,-0.901297,135.837,14.9857,484.393,0.189631,-0.136708,0.107173,1.98818,0.203869,-0.114238,0.110207,889.557,388.043,0.654843,0.0,2.43109,0.0,1.68524,2.43656,1.00947,3.1946,2.15822,2.32273,2.86093,2.24236,1.23419,1.15756,4.41234,4.85529,1.16603,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.826721723158,0.686636348928
AndyWoodhull2,38,43,1,32,38,961,1140,0.410975,0.35197,-0.872747,0.261298,0.370792,-0.927345,77.6842,18.9029,475.878,0.152795,0.405813,0.047692,2.06161,0.163285,0.4402,0.0522722,788.141,395.908,1.65216,0.0,0.977387,1.03913,0.56576,2.14735,1.12755,2.60056,1.0701,1.58329,0.955303,1.84198,0.729548,2.25234,2.92933,2.577,0.946601,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.76793624437,0.863365302348
AndyWoodhull2,49,50,1,43,49,1291,1470,0.50673,0.34039,-0.844871,0.33553,0.335857,-0.909648,151.685,18.295,502.429,0.267132,-0.00878935,0.173706,2.24889,0.250485,-0.00687921,0.176527,904.065,392.132,1.72492,0.751857,2.20938,0.25616,2.22188,1.00019,0.870287,3.65863,1.39867,2.99969,1.8093,3.13861,2.57311,2.90431,3.46508,4.25341,0.787001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.83718256727,0.763135501219
AndyWoodhull2,54,55,1,50,54,1501,1620,0.315252,0.414053,-0.883019,0.129286,0.410819,-0.897745,28.4402,11.2443,467.927,0.142685,0.393884,0.100888,2.02439,0.143286,0.424802,0.102727,697.872,381.823,1.88762,1.09722,0.310191,0.408695,0.69111,1.61734,0.418854,1.07043,1.96494,0.910015,0.888334,1.68041,0.809808,1.40722,3.25636,1.97837,1.77383,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.927353466326,0.879560669836
AndyWoodhull2,62,64,1,55,62,1651,1860,0.447346,0.342628,-0.875373,0.196022,0.380259,-0.902136,167.386,23.5575,479.371,0.245828,0.529304,0.0258794,2.06492,0.264964,0.552613,0.0302851,948.412,406.525,1.49383,0.545262,0.798157,1.23247,0.768961,1.19007,0.944011,2.29087,2.35594,2.17158,1.01643,1.8986,1.80208,2.20167,3.63224,3.85531,1.58312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.814603703774,0.843882945913
