video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_y,gaze_1_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU06_r,AU07_r,AU12_r,AU14_r,AU23_r,AU26_r,AU01_c,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU23_c,AU25_c,AU26_c,eyebrow_raise,frown
AndyWoodhull,293,294,1,289,293,8671,8790,0.051850925,0.043916061,61.24428021,5.36773577,7.007691151,0.100131254,0.131702178,0.089672129,0.026533418,0.097600789,0.132619535,0.091529274,118.0821578,10.12148084,0.545049867,0.100885304,0.000421183,0.049561605,0.002771937,0.867078044,0.302916265,0.062693609,0.948393956,0.725,0.158333333,0.366666667,0.308333333,0.133333333,0,0.408333333,0.475,0.266666667,0.566666667,0,0.341666667,0.516666667,0.045279409,0.068568383
AndyWoodhull,301,312,2,294,301,8821,9030,0.047145888,0.045847723,66.02836122,10.5509678,15.3374444,0.101538356,0.294345265,0.124613435,0.068108333,0.10224763,0.311034181,0.127500945,126.2394277,20.07716351,0.286895826,0.117976481,0.144318655,0.257166916,0.168670689,0.785268294,0.298401411,0.608868276,1.140302626,0.233333333,0.195238095,0.304761905,0.247619048,0.314285714,0.185714286,0.271428571,0.628571429,0.671428571,0.70952381,0.080952381,0.380952381,0.442857143,0.131390667,0.11857599
AndyWoodhull,319,321,2,312,319,9361,9570,0.035300317,0.035496589,66.84207308,6.030346088,8.854271092,0.090984666,0.188942543,0.106537006,0.039455157,0.088860253,0.201185447,0.109526182,128.9253367,11.35082507,0.319878063,0.073582229,0.005297664,0.308735224,0.194893063,0.798106577,0.300778757,0.142601167,0.752802433,0.166666667,0.185714286,0.052380952,0.228571429,0.376190476,0.014285714,0.257142857,0.476190476,0.566666667,0.738095238,0.019047619,0.271428571,0.419047619,0.079642324,0.101795506
AndyWoodhull2,2,5,1,0,2,1,60,0.124211623,0.121516015,81.91616816,6.978955582,259.844797,0.036834089,0.332389874,0.044235956,0.831447061,0.037873502,0.339066204,0.04642481,441.1864995,168.9838765,0.042414013,0,0.888162133,0.302517317,0.154393904,0.007529683,0.428976833,0.482136743,0.576815248,0,0.6,0,0.133333333,0.533333333,0.6,0,0.166666667,0.466666667,0.583333333,0,0.183333333,0.3,0.279141637,0.135787348
AndyWoodhull2,26,27,1,5,26,151,780,0.119863614,0.127404376,74.32825137,8.831652573,143.5058992,0.083126329,0.407989666,0.085288777,0.585623496,0.079107368,0.426860241,0.086202666,244.906846,113.7190531,0.582044549,0.187471892,0.253015094,0.114910183,0.464397418,0.239321967,0.313704121,0.161884721,0.657119258,0.495238095,0.257142857,0.036507937,0.049206349,0.13015873,0.252380952,0.088888889,0.320634921,0.103174603,0.341269841,0.014285714,0.36031746,0.304761905,0.242172109,0.297472903
AndyWoodhull2,31,32,1,27,31,811,930,0.054848518,0.042460724,26.46772324,5.603425428,10.76467494,0.052810568,0.1981597,0.070035029,0.040799147,0.056656339,0.200788146,0.073373388,48.1503244,10.64129093,0.054267064,0,0.866707604,0.625572039,0.754901547,0.520942234,0.764871386,0.321428987,1.368549126,0,0.675,0,0.375,0.683333333,0.8,0.291666667,0.558333333,0.116666667,0.858333333,0,0.391666667,0.508333333,0.066576714,0.162178801
AndyWoodhull2,38,43,1,32,38,961,1140,0.032807299,0.030862119,60.47026222,7.915895974,11.84710518,0.087723685,0.339129621,0.048090286,0.04302094,0.08832919,0.359201418,0.050159056,113.9430332,14.77441197,0.200419942,0,0.165420438,0.030452778,0.33957117,0.184377824,0.439118501,0.510816475,0.407531438,0.061111111,0.388888889,0.083333333,0,0.255555556,0.261111111,0.2,0.455555556,0.272222222,0.483333333,0,0.205555556,0.138888889,0.068653835,0.170177884
AndyWoodhull2,49,50,1,43,49,1291,1470,0.037576048,0.033861312,74.52631048,5.243231644,14.99102015,0.117082328,0.222765663,0.095774358,0.066624052,0.117955527,0.222732782,0.098994992,138.5627634,9.431228548,0.260629939,0.057118687,0.626674663,0.18014467,0.354109644,0.125715963,0.543964383,0.526427048,1.140846272,0.083333333,0.466666667,0.155555556,0.027777778,0.522222222,0.5,0.016666667,0.144444444,0.477777778,0.788888889,0,0.216666667,0.383333333,0.077802329,0.179824466
AndyWoodhull2,54,55,1,50,54,1501,1620,0.047215534,0.039971496,41.06744335,7.061549929,11.29222973,0.058751829,0.289488919,0.047901431,0.045706522,0.055866814,0.309296444,0.04765801,78.8975889,13.75016813,0.563737472,0.114620199,0.008022965,0.05422723,0.83085783,0.49708856,0.343844512,0.433064216,0.422016667,0.308333333,0,0,0.091666667,0.166666667,0.05,0.283333333,0.616666667,0.2,0.75,0.1,0.441666667,0.166666667,0.060251075,0.145988764
AndyWoodhull2,62,64,1,55,62,1651,1860,0.054225578,0.046521638,90.27801924,7.272070126,12.74465919,0.0595995,0.378017613,0.070263256,0.047309041,0.057878292,0.391745105,0.073402921,171.9991045,13.98366521,0.393340184,0.011596439,0.047974575,0.134396633,0.355173017,0.532864241,0.639092324,0.609692266,0.807794581,0.347619048,0.39047619,0.042857143,0.257142857,0.295238095,0.433333333,0.333333333,0.642857143,0.128571429,0.742857143,0.076190476,0.476190476,0.233333333,0.060605999,0.138168409
